POS,NO,DRIVER,CAR,TIME,GAP,LAPS,SESSION,RACE_NO,SEASON,TRACK
1,44,Lewis Hamilton,MERCEDES,1:24.220,,22,P1,1,2017,Albert Park
2,77,Valtteri Bottas,MERCEDES,1:24.803,+0.583s,25,P1,1,2017,Albert Park
3,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:24.886,+0.666s,19,P1,1,2017,Albert Park
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:25.246,+1.026s,19,P1,1,2017,Albert Park
5,7,Kimi Räikkönen,FERRARI,1:25.372,+1.152s,16,P1,1,2017,Albert Park
6,5,Sebastian Vettel,FERRARI,1:25.464,+1.244s,10,P1,1,2017,Albert Park
7,19,Felipe Massa,WILLIAMS MERCEDES,1:26.142,+1.922s,28,P1,1,2017,Albert Park
8,8,Romain Grosjean,HAAS FERRARI,1:26.168,+1.948s,20,P1,1,2017,Albert Park
9,27,Nico Hulkenberg,RENAULT,1:26.183,+1.963s,15,P1,1,2017,Albert Park
10,11,Sergio Perez,FORCE INDIA MERCEDES,1:26.276,+2.056s,29,P1,1,2017,Albert Park
11,55,Carlos Sainz,TORO ROSSO,1:26.450,+2.230s,24,P1,1,2017,Albert Park
12,26,Daniil Kvyat,TORO ROSSO,1:26.514,+2.294s,25,P1,1,2017,Albert Park
13,18,Lance Stroll,WILLIAMS MERCEDES,1:26.734,+2.514s,29,P1,1,2017,Albert Park
14,14,Fernando Alonso,MCLAREN HONDA,1:27.116,+2.896s,18,P1,1,2017,Albert Park
15,9,Marcus Ericsson,SAUBER FERRARI,1:27.348,+3.128s,30,P1,1,2017,Albert Park
16,31,Esteban Ocon,FORCE INDIA MERCEDES,1:27.656,+3.436s,23,P1,1,2017,Albert Park
17,20,Kevin Magnussen,HAAS FERRARI,1:27.667,+3.447s,20,P1,1,2017,Albert Park
18,94,Pascal Wehrlein,SAUBER FERRARI,1:28.539,+4.319s,22,P1,1,2017,Albert Park
19,30,Jolyon Palmer,RENAULT,1:28.585,+4.365s,6,P1,1,2017,Albert Park
20,2,Stoffel Vandoorne,MCLAREN HONDA,1:28.695,+4.475s,14,P1,1,2017,Albert Park
1,44,Lewis Hamilton,MERCEDES,1:23.620,,34,P2,1,2017,Albert Park
2,5,Sebastian Vettel,FERRARI,1:24.167,+0.547s,35,P2,1,2017,Albert Park
3,77,Valtteri Bottas,MERCEDES,1:24.176,+0.556s,34,P2,1,2017,Albert Park
4,7,Kimi Räikkönen,FERRARI,1:24.525,+0.905s,30,P2,1,2017,Albert Park
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:24.650,+1.030s,27,P2,1,2017,Albert Park
6,33,Max Verstappen,RED BULL RACING TAG HEUER,1:25.013,+1.393s,8,P2,1,2017,Albert Park
7,55,Carlos Sainz,TORO ROSSO,1:25.084,+1.464s,34,P2,1,2017,Albert Park
8,8,Romain Grosjean,HAAS FERRARI,1:25.436,+1.816s,29,P2,1,2017,Albert Park
9,27,Nico Hulkenberg,RENAULT,1:25.478,+1.858s,36,P2,1,2017,Albert Park
10,26,Daniil Kvyat,TORO ROSSO,1:25.493,+1.873s,39,P2,1,2017,Albert Park
11,11,Sergio Perez,FORCE INDIA MERCEDES,1:25.591,+1.971s,35,P2,1,2017,Albert Park
12,14,Fernando Alonso,MCLAREN HONDA,1:26.000,+2.380s,19,P2,1,2017,Albert Park
