POS,NO,DRIVER,CAR,TIME,GAP,LAPS,SESSION,RACE_NO,SEASON,TRACK
1,44,Lewis Hamilton,MERCEDES,01:24.2,,22,P1,1,2017,Albert Park
2,77,Valtteri Bottas,MERCEDES,01:24.8,+0.583s,25,P1,1,2017,Albert Park
3,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:24.9,+0.666s,19,P1,1,2017,Albert Park
4,33,Max Verstappen,RED BULL RACING TAG HEUER,01:25.2,+1.026s,19,P1,1,2017,Albert Park
5,7,Kimi Raikkonen,FERRARI,01:25.4,+1.152s,16,P1,1,2017,Albert Park
6,5,Sebastian Vettel,FERRARI,01:25.5,+1.244s,10,P1,1,2017,Albert Park
7,19,Felipe Massa,WILLIAMS MERCEDES,01:26.1,+1.922s,28,P1,1,2017,Albert Park
8,8,Romain Grosjean,HAAS FERRARI,01:26.2,+1.948s,20,P1,1,2017,Albert Park
9,27,Nico Hulkenberg,RENAULT,01:26.2,+1.963s,15,P1,1,2017,Albert Park
10,11,Sergio Perez,FORCE INDIA MERCEDES,01:26.3,+2.056s,29,P1,1,2017,Albert Park
11,55,Carlos Sainz,TORO ROSSO,01:26.5,+2.230s,24,P1,1,2017,Albert Park
12,26,Daniil Kvyat,TORO ROSSO,01:26.5,+2.294s,25,P1,1,2017,Albert Park
13,18,Lance Stroll,WILLIAMS MERCEDES,01:26.7,+2.514s,29,P1,1,2017,Albert Park
14,14,Fernando Alonso,MCLAREN HONDA,01:27.1,+2.896s,18,P1,1,2017,Albert Park
15,9,Marcus Ericsson,SAUBER FERRARI,01:27.3,+3.128s,30,P1,1,2017,Albert Park
16,31,Esteban Ocon,FORCE INDIA MERCEDES,01:27.7,+3.436s,23,P1,1,2017,Albert Park
17,20,Kevin Magnussen,HAAS FERRARI,01:27.7,+3.447s,20,P1,1,2017,Albert Park
18,94,Pascal Wehrlein,SAUBER FERRARI,01:28.5,+4.319s,22,P1,1,2017,Albert Park
19,30,Jolyon Palmer,RENAULT,01:28.6,+4.365s,6,P1,1,2017,Albert Park
20,2,Stoffel Vandoorne,MCLAREN HONDA,01:28.7,+4.475s,14,P1,1,2017,Albert Park
1,44,Lewis Hamilton,MERCEDES,01:23.6,,34,P2,1,2017,Albert Park
2,5,Sebastian Vettel,FERRARI,01:24.2,+0.547s,35,P2,1,2017,Albert Park
3,77,Valtteri Bottas,MERCEDES,01:24.2,+0.556s,34,P2,1,2017,Albert Park
4,7,Kimi Raikkonen,FERRARI,01:24.5,+0.905s,30,P2,1,2017,Albert Park
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:24.7,+1.030s,27,P2,1,2017,Albert Park
6,33,Max Verstappen,RED BULL RACING TAG HEUER,01:25.0,+1.393s,8,P2,1,2017,Albert Park
7,55,Carlos Sainz,TORO ROSSO,01:25.1,+1.464s,34,P2,1,2017,Albert Park
8,8,Romain Grosjean,HAAS FERRARI,01:25.4,+1.816s,29,P2,1,2017,Albert Park
9,27,Nico Hulkenberg,RENAULT,01:25.5,+1.858s,36,P2,1,2017,Albert Park
10,26,Daniil Kvyat,TORO ROSSO,01:25.5,+1.873s,39,P2,1,2017,Albert Park
11,11,Sergio Perez,FORCE INDIA MERCEDES,01:25.6,+1.971s,35,P2,1,2017,Albert Park
12,14,Fernando Alonso,MCLAREN HONDA,01:26.0,+2.380s,19,P2,1,2017,Albert Park
13,31,Esteban Ocon,FORCE INDIA MERCEDES,01:26.1,+2.525s,37,P2,1,2017,Albert Park
14,19,Felipe Massa,WILLIAMS MERCEDES,01:26.3,+2.711s,6,P2,1,2017,Albert Park
15,9,Marcus Ericsson,SAUBER FERRARI,01:26.5,+2.878s,29,P2,1,2017,Albert Park
16,18,Lance Stroll,WILLIAMS MERCEDES,01:26.5,+2.905s,27,P2,1,2017,Albert Park
17,2,Stoffel Vandoorne,MCLAREN HONDA,01:26.6,+2.988s,33,P2,1,2017,Albert Park
18,94,Pascal Wehrlein,SAUBER FERRARI,01:26.9,+3.299s,30,P2,1,2017,Albert Park
19,20,Kevin Magnussen,HAAS FERRARI,01:27.3,+3.659s,8,P2,1,2017,Albert Park
20,30,Jolyon Palmer,RENAULT,01:27.5,+3.929s,4,P2,1,2017,Albert Park
1,5,Sebastian Vettel,FERRARI,01:23.4,,12,P3,1,2017,Albert Park
2,77,Valtteri Bottas,MERCEDES,01:23.9,+0.479s,12,P3,1,2017,Albert Park
3,44,Lewis Hamilton,MERCEDES,01:23.9,+0.490s,12,P3,1,2017,Albert Park
4,7,Kimi Raikkonen,FERRARI,01:24.0,+0.608s,10,P3,1,2017,Albert Park
5,27,Nico Hulkenberg,RENAULT,01:25.1,+1.683s,10,P3,1,2017,Albert Park
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:25.1,+1.712s,15,P3,1,2017,Albert Park
7,8,Romain Grosjean,HAAS FERRARI,01:25.6,+2.201s,11,P3,1,2017,Albert Park
8,55,Carlos Sainz,TORO ROSSO,01:25.9,+2.568s,11,P3,1,2017,Albert Park
9,26,Daniil Kvyat,TORO ROSSO,01:26.0,+2.669s,11,P3,1,2017,Albert Park
10,20,Kevin Magnussen,HAAS FERRARI,01:26.1,+2.758s,11,P3,1,2017,Albert Park
11,19,Felipe Massa,WILLIAMS MERCEDES,01:26.2,+2.857s,15,P3,1,2017,Albert Park
12,33,Max Verstappen,RED BULL RACING TAG HEUER,01:26.3,+2.889s,7,P3,1,2017,Albert Park
13,11,Sergio Perez,FORCE INDIA MERCEDES,01:26.5,+3.077s,12,P3,1,2017,Albert Park
14,14,Fernando Alonso,MCLAREN HONDA,01:26.6,+3.176s,7,P3,1,2017,Albert Park
15,2,Stoffel Vandoorne,MCLAREN HONDA,01:26.7,+3.319s,9,P3,1,2017,Albert Park
16,31,Esteban Ocon,FORCE INDIA MERCEDES,01:27.1,+3.723s,16,P3,1,2017,Albert Park
17,18,Lance Stroll,WILLIAMS MERCEDES,01:27.3,+3.947s,12,P3,1,2017,Albert Park
18,9,Marcus Ericsson,SAUBER FERRARI,01:27.4,+4.022s,10,P3,1,2017,Albert Park
