POS,NO,DRIVER,CAR,TIME,GAP,LAPS,SESSION,RACE_NO,SEASON,TRACK
1,5,Sebastian Vettel,FERRARI,01:33.9,,19,P1,3,2019,Shanghai International Circuit
2,44,Lewis Hamilton,MERCEDES,01:34.1,+0.207s,21,P1,3,2019,Shanghai International Circuit
3,16,Charles Leclerc,FERRARI,01:34.2,+0.256s,21,P1,3,2019,Shanghai International Circuit
4,33,Max Verstappen,RED BULL RACING HONDA,01:34.3,+0.423s,20,P1,3,2019,Shanghai International Circuit
5,77,Valtteri Bottas,MERCEDES,01:34.7,+0.742s,23,P1,3,2019,Shanghai International Circuit
6,3,Daniel Ricciardo,RENAULT,01:35.2,+1.328s,23,P1,3,2019,Shanghai International Circuit
7,10,Pierre Gasly,RED BULL RACING HONDA,01:35.4,+1.517s,23,P1,3,2019,Shanghai International Circuit
8,26,Daniil Kvyat,SCUDERIA TORO ROSSO HONDA,01:35.4,+1.536s,24,P1,3,2019,Shanghai International Circuit
9,18,Lance Stroll,RACING POINT BWT MERCEDES,01:35.5,+1.555s,25,P1,3,2019,Shanghai International Circuit
10,8,Romain Grosjean,HAAS FERRARI,01:35.5,+1.596s,24,P1,3,2019,Shanghai International Circuit
11,20,Kevin Magnussen,HAAS FERRARI,01:35.5,+1.606s,25,P1,3,2019,Shanghai International Circuit
12,27,Nico Hulkenberg,RENAULT,01:35.6,+1.680s,22,P1,3,2019,Shanghai International Circuit
13,4,Lando Norris,MCLAREN RENAULT,01:35.6,+1.720s,24,P1,3,2019,Shanghai International Circuit
14,23,Alexander Albon,SCUDERIA TORO ROSSO HONDA,01:35.7,+1.784s,26,P1,3,2019,Shanghai International Circuit
15,7,Kimi Raikkonen,ALFA ROMEO RACING FERRARI,01:35.7,+1.818s,23,P1,3,2019,Shanghai International Circuit
16,55,Carlos Sainz,MCLAREN RENAULT,01:35.8,+1.845s,24,P1,3,2019,Shanghai International Circuit
17,11,Sergio Perez,RACING POINT BWT MERCEDES,01:35.8,+1.909s,24,P1,3,2019,Shanghai International Circuit
18,88,Robert Kubica,WILLIAMS MERCEDES,01:36.8,+2.936s,27,P1,3,2019,Shanghai International Circuit
19,63,George Russell,WILLIAMS MERCEDES,01:37.6,+3.708s,29,P1,3,2019,Shanghai International Circuit
20,99,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,,,2,P1,3,2019,Shanghai International Circuit
1,77,Valtteri Bottas,MERCEDES,01:33.3,,37,P2,3,2019,Shanghai International Circuit
2,5,Sebastian Vettel,FERRARI,01:33.4,+0.027s,33,P2,3,2019,Shanghai International Circuit
3,33,Max Verstappen,RED BULL RACING HONDA,01:33.6,+0.221s,29,P2,3,2019,Shanghai International Circuit
4,44,Lewis Hamilton,MERCEDES,01:34.0,+0.707s,32,P2,3,2019,Shanghai International Circuit
5,27,Nico Hulkenberg,RENAULT,01:34.1,+0.766s,31,P2,3,2019,Shanghai International Circuit
6,55,Carlos Sainz,MCLAREN RENAULT,01:34.1,+0.811s,36,P2,3,2019,Shanghai International Circuit
7,16,Charles Leclerc,FERRARI,01:34.2,+0.828s,13,P2,3,2019,Shanghai International Circuit
8,4,Lando Norris,MCLAREN RENAULT,01:34.3,+0.966s,38,P2,3,2019,Shanghai International Circuit
9,3,Daniel Ricciardo,RENAULT,01:34.3,+1.006s,32,P2,3,2019,Shanghai International Circuit
10,10,Pierre Gasly,RED BULL RACING HONDA,01:34.5,+1.125s,32,P2,3,2019,Shanghai International Circuit
11,7,Kimi Raikkonen,ALFA ROMEO RACING FERRARI,01:34.6,+1.221s,33,P2,3,2019,Shanghai International Circuit
12,23,Alexander Albon,SCUDERIA TORO ROSSO HONDA,01:34.6,+1.304s,37,P2,3,2019,Shanghai International Circuit
13,26,Daniil Kvyat,SCUDERIA TORO ROSSO HONDA,01:34.7,+1.364s,20,P2,3,2019,Shanghai International Circuit
14,18,Lance Stroll,RACING POINT BWT MERCEDES,01:34.8,+1.449s,37,P2,3,2019,Shanghai International Circuit
15,11,Sergio Perez,RACING POINT BWT MERCEDES,01:34.8,+1.454s,35,P2,3,2019,Shanghai International Circuit
16,20,Kevin Magnussen,HAAS FERRARI,01:34.8,+1.458s,34,P2,3,2019,Shanghai International Circuit
17,8,Romain Grosjean,HAAS FERRARI,01:35.7,+2.374s,32,P2,3,2019,Shanghai International Circuit
18,99,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,01:35.9,+2.584s,40,P2,3,2019,Shanghai International Circuit
19,88,Robert Kubica,WILLIAMS MERCEDES,01:36.1,+2.791s,38,P2,3,2019,Shanghai International Circuit
