POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
1,44,Lewis Hamilton,MERCEDES,01:24.2,01:23.3,01:22.2,14,1,2017,Albert Park
2,5,Sebastian Vettel,FERRARI,01:25.2,01:23.4,01:22.5,17,1,2017,Albert Park
3,77,Valtteri Bottas,MERCEDES,01:24.5,01:23.2,01:22.5,13,1,2017,Albert Park
4,7,Kimi Raikkonen,FERRARI,01:24.4,01:23.4,01:23.0,19,1,2017,Albert Park
5,33,Max Verstappen,RED BULL RACING TAG HEUER,01:24.5,01:24.1,01:23.5,18,1,2017,Albert Park
6,8,Romain Grosjean,HAAS FERRARI,01:25.4,01:24.7,01:24.1,17,1,2017,Albert Park
7,19,Felipe Massa,WILLIAMS MERCEDES,01:25.1,01:24.6,01:24.4,16,1,2017,Albert Park
8,55,Carlos Sainz,TORO ROSSO,01:25.5,01:25.0,01:24.5,16,1,2017,Albert Park
9,26,Daniil Kvyat,TORO ROSSO,01:26.0,01:24.9,01:24.5,16,1,2017,Albert Park
10,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:25.4,01:24.0,DNF,10,1,2017,Albert Park
11,11,Sergio Perez,FORCE INDIA MERCEDES,01:25.1,01:25.1,,13,1,2017,Albert Park
12,27,Nico Hulkenberg,RENAULT,01:25.0,01:25.1,,12,1,2017,Albert Park
13,14,Fernando Alonso,MCLAREN HONDA,01:25.9,01:25.4,,15,1,2017,Albert Park
14,31,Esteban Ocon,FORCE INDIA MERCEDES,01:26.0,01:25.6,,16,1,2017,Albert Park
15,9,Marcus Ericsson,SAUBER FERRARI,01:26.2,01:26.5,,15,1,2017,Albert Park
16,36,Antonio Giovinazzi,SAUBER FERRARI,01:26.4,,,8,1,2017,Albert Park
17,20,Kevin Magnussen,HAAS FERRARI,01:26.8,,,7,1,2017,Albert Park
18,2,Stoffel Vandoorne,MCLAREN HONDA,01:26.9,,,6,1,2017,Albert Park
19,18,Lance Stroll,WILLIAMS MERCEDES,01:27.1,,,7,1,2017,Albert Park
20,30,Jolyon Palmer,RENAULT,01:28.2,,,7,1,2017,Albert Park
1,44,Lewis Hamilton,MERCEDES,01:33.3,01:32.4,01:31.7,13,2,2017,Shanghai International Circuit
2,5,Sebastian Vettel,FERRARI,01:33.1,01:32.4,01:31.9,15,2,2017,Shanghai International Circuit
3,77,Valtteri Bottas,MERCEDES,01:33.7,01:32.6,01:31.9,14,2,2017,Shanghai International Circuit
4,7,Kimi Raikkonen,FERRARI,01:33.3,01:32.2,01:32.1,15,2,2017,Shanghai International Circuit
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:34.0,01:33.5,01:33.0,12,2,2017,Shanghai International Circuit
6,19,Felipe Massa,WILLIAMS MERCEDES,01:34.2,01:33.8,01:33.5,14,2,2017,Shanghai International Circuit
7,27,Nico Hulkenberg,RENAULT,01:34.5,01:33.6,01:33.6,16,2,2017,Shanghai International Circuit
8,11,Sergio Perez,FORCE INDIA MERCEDES,01:34.7,01:33.9,01:33.7,15,2,2017,Shanghai International Circuit
9,26,Daniil Kvyat,TORO ROSSO,01:34.4,01:34.0,01:33.7,17,2,2017,Shanghai International Circuit
10,18,Lance Stroll,WILLIAMS MERCEDES,01:34.0,01:34.1,01:34.2,18,2,2017,Shanghai International Circuit
11,55,Carlos Sainz,TORO ROSSO,01:34.6,01:34.2,,11,2,2017,Shanghai International Circuit
12,20,Kevin Magnussen,HAAS FERRARI,01:34.9,01:34.2,,12,2,2017,Shanghai International Circuit
13,14,Fernando Alonso,MCLAREN HONDA,01:34.5,01:34.4,,11,2,2017,Shanghai International Circuit
14,9,Marcus Ericsson,SAUBER FERRARI,01:34.9,01:35.0,,15,2,2017,Shanghai International Circuit
15,36,Antonio Giovinazzi,SAUBER FERRARI,01:35.0,,,8,2,2017,Shanghai International Circuit
16,2,Stoffel Vandoorne,MCLAREN HONDA,01:35.0,,,6,2,2017,Shanghai International Circuit
17,8,Romain Grosjean,HAAS FERRARI,01:35.2,,,6,2,2017,Shanghai International Circuit
18,30,Jolyon Palmer,RENAULT,01:35.3,,,6,2,2017,Shanghai International Circuit
19,33,Max Verstappen,RED BULL RACING TAG HEUER,01:35.4,,,7,2,2017,Shanghai International Circuit
20,31,Esteban Ocon,FORCE INDIA MERCEDES,01:35.5,,,8,2,2017,Shanghai International Circuit
1,44,Lewis Hamilton,MERCEDES,01:24.2,01:23.3,01:22.2,14,3,2017,Bahrain International Circuit
2,5,Sebastian Vettel,FERRARI,01:25.2,01:23.4,01:22.5,17,3,2017,Bahrain International Circuit
3,77,Valtteri Bottas,MERCEDES,01:24.5,01:23.2,01:22.5,13,3,2017,Bahrain International Circuit
4,7,Kimi Raikkonen,FERRARI,01:24.4,01:23.4,01:23.0,19,3,2017,Bahrain International Circuit
5,33,Max Verstappen,RED BULL RACING TAG HEUER,01:24.5,01:24.1,01:23.5,18,3,2017,Bahrain International Circuit
6,8,Romain Grosjean,HAAS FERRARI,01:25.4,01:24.7,01:24.1,17,3,2017,Bahrain International Circuit
7,19,Felipe Massa,WILLIAMS MERCEDES,01:25.1,01:24.6,01:24.4,16,3,2017,Bahrain International Circuit
8,55,Carlos Sainz,TORO ROSSO,01:25.5,01:25.0,01:24.5,16,3,2017,Bahrain International Circuit
9,26,Daniil Kvyat,TORO ROSSO,01:26.0,01:24.9,01:24.5,16,3,2017,Bahrain International Circuit
10,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,01:25.4,01:24.0,DNF,10,3,2017,Bahrain International Circuit
11,11,Sergio Perez,FORCE INDIA MERCEDES,01:25.1,01:25.1,,13,3,2017,Bahrain International Circuit
12,27,Nico Hulkenberg,RENAULT,01:25.0,01:25.1,,12,3,2017,Bahrain International Circuit
13,14,Fernando Alonso,MCLAREN HONDA,01:25.9,01:25.4,,15,3,2017,Bahrain International Circuit
14,31,Esteban Ocon,FORCE INDIA MERCEDES,01:26.0,01:25.6,,16,3,2017,Bahrain International Circuit
15,9,Marcus Ericsson,SAUBER FERRARI,01:26.2,01:26.5,,15,3,2017,Bahrain International Circuit
16,36,Antonio Giovinazzi,SAUBER FERRARI,01:26.4,,,8,3,2017,Bahrain International Circuit
17,20,Kevin Magnussen,HAAS FERRARI,01:26.8,,,7,3,2017,Bahrain International Circuit
18,2,Stoffel Vandoorne,MCLAREN HONDA,01:26.9,,,6,3,2017,Bahrain International Circuit
19,18,Lance Stroll,WILLIAMS MERCEDES,01:27.1,,,7,3,2017,Bahrain International Circuit
20,30,Jolyon Palmer,RENAULT,01:28.2,,,7,3,2017,Bahrain International Circuit
1,5,Sebastian Vettel,FERRARI,01:34.5,01:34.0,01:33.2,20,4,2017,Sochi
2,7,Kimi Raikkonen,FERRARI,01:35.0,01:33.7,01:33.3,18,4,2017,Sochi
3,77,Valtteri Bottas,MERCEDES,01:34.0,01:33.3,01:33.3,18,4,2017,Sochi
4,44,Lewis Hamilton,MERCEDES,01:34.4,01:33.8,01:33.8,19,4,2017,Sochi
