POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
1,77,Valtteri Bottas,MERCEDES,01:32.7,01:31.7,01:31.5,16,3,2019,Shanghai International Circuit
2,44,Lewis Hamilton,MERCEDES,01:33.1,01:31.6,01:31.6,16,3,2019,Shanghai International Circuit
3,5,Sebastian Vettel,FERRARI,01:33.6,01:32.2,01:31.8,17,3,2019,Shanghai International Circuit
4,16,Charles Leclerc,FERRARI,01:32.7,01:32.3,01:31.9,16,3,2019,Shanghai International Circuit
5,33,Max Verstappen,RED BULL RACING HONDA,01:33.3,01:32.4,01:32.1,14,3,2019,Shanghai International Circuit
6,10,Pierre Gasly,RED BULL RACING HONDA,01:33.9,01:32.9,01:32.9,14,3,2019,Shanghai International Circuit
7,3,Daniel Ricciardo,RENAULT,01:33.7,01:33.2,01:33.0,18,3,2019,Shanghai International Circuit
8,27,Nico Hulkenberg,RENAULT,01:33.6,01:33.0,01:33.0,15,3,2019,Shanghai International Circuit
9,20,Kevin Magnussen,HAAS FERRARI,01:34.0,01:33.1,DNF,16,3,2019,Shanghai International Circuit
10,8,Romain Grosjean,HAAS FERRARI,01:33.8,01:33.2,DNF,15,3,2019,Shanghai International Circuit
11,26,Daniil Kvyat,SCUDERIA TORO ROSSO HONDA,01:33.8,01:33.2,,12,3,2019,Shanghai International Circuit
12,11,Sergio Perez,RACING POINT BWT MERCEDES,01:34.0,01:33.3,,12,3,2019,Shanghai International Circuit
13,7,Kimi Raikkonen,ALFA ROMEO RACING FERRARI,01:34.1,01:33.4,,12,3,2019,Shanghai International Circuit
14,55,Carlos Sainz,MCLAREN RENAULT,01:33.7,01:33.5,,12,3,2019,Shanghai International Circuit
15,4,Lando Norris,MCLAREN RENAULT,01:34.1,01:34.0,,12,3,2019,Shanghai International Circuit
16,18,Lance Stroll,RACING POINT BWT MERCEDES,01:34.3,,,6,3,2019,Shanghai International Circuit
17,63,George Russell,WILLIAMS MERCEDES,01:35.3,,,9,3,2019,Shanghai International Circuit
18,88,Robert Kubica,WILLIAMS MERCEDES,01:35.3,,,9,3,2019,Shanghai International Circuit
19,99,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,DNF,,,2,3,2019,Shanghai International Circuit
20,28,Alexander Albon,SCUDERIA TORO ROSSO HONDA,DNF,,,0,3,2019,Shanghai International Circuit
