POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
1,44,Lewis Hamilton,MERCEDES,1:24.191,1:23.251,1:22.188,14,1,2017,Albert Park
2,5,Sebastian Vettel,FERRARI,1:25.210,1:23.401,1:22.456,17,1,2017,Albert Park
3,77,Valtteri Bottas,MERCEDES,1:24.514,1:23.215,1:22.481,13,1,2017,Albert Park
4,7,Kimi Räikkönen,FERRARI,1:24.352,1:23.376,1:23.033,19,1,2017,Albert Park
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:24.482,1:24.092,1:23.485,18,1,2017,Albert Park
6,8,Romain Grosjean,HAAS FERRARI,1:25.419,1:24.718,1:24.074,17,1,2017,Albert Park
7,19,Felipe Massa,WILLIAMS MERCEDES,1:25.099,1:24.597,1:24.443,16,1,2017,Albert Park
8,55,Carlos Sainz,TORO ROSSO,1:25.542,1:24.997,1:24.487,16,1,2017,Albert Park
9,26,Daniil Kvyat,TORO ROSSO,1:25.970,1:24.864,1:24.512,16,1,2017,Albert Park
10,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:25.383,1:23.989,DNF,10,1,2017,Albert Park
11,11,Sergio Perez,FORCE INDIA MERCEDES,1:25.064,1:25.081,,13,1,2017,Albert Park
12,27,Nico Hulkenberg,RENAULT,1:24.975,1:25.091,,12,1,2017,Albert Park
13,14,Fernando Alonso,MCLAREN HONDA,1:25.872,1:25.425,,15,1,2017,Albert Park
14,31,Esteban Ocon,FORCE INDIA MERCEDES,1:26.009,1:25.568,,16,1,2017,Albert Park
15,9,Marcus Ericsson,SAUBER FERRARI,1:26.236,1:26.465,,15,1,2017,Albert Park
16,36,Antonio Giovinazzi,SAUBER FERRARI,1:26.419,,,8,1,2017,Albert Park
17,20,Kevin Magnussen,HAAS FERRARI,1:26.847,,,7,1,2017,Albert Park
18,2,Stoffel Vandoorne,MCLAREN HONDA,1:26.858,,,6,1,2017,Albert Park
19,18,Lance Stroll,WILLIAMS MERCEDES,1:27.143,,,7,1,2017,Albert Park
20,30,Jolyon Palmer,RENAULT,1:28.244,,,7,1,2017,Albert Park
1,44,Lewis Hamilton,MERCEDES,1:33.333,1:32.406,1:31.678,13,2,2017,Shanghai International Circuit
2,5,Sebastian Vettel,FERRARI,1:33.078,1:32.391,1:31.864,15,2,2017,Shanghai International Circuit
3,77,Valtteri Bottas,MERCEDES,1:33.684,1:32.552,1:31.865,14,2,2017,Shanghai International Circuit
4,7,Kimi Räikkönen,FERRARI,1:33.341,1:32.181,1:32.140,15,2,2017,Shanghai International Circuit
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:34.041,1:33.546,1:33.033,12,2,2017,Shanghai International Circuit
6,19,Felipe Massa,WILLIAMS MERCEDES,1:34.205,1:33.759,1:33.507,14,2,2017,Shanghai International Circuit
7,27,Nico Hulkenberg,RENAULT,1:34.453,1:33.636,1:33.580,16,2,2017,Shanghai International Circuit
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:34.657,1:33.920,1:33.706,15,2,2017,Shanghai International Circuit
9,26,Daniil Kvyat,TORO ROSSO,1:34.440,1:34.034,1:33.719,17,2,2017,Shanghai International Circuit
10,18,Lance Stroll,WILLIAMS MERCEDES,1:33.986,1:34.090,1:34.220,18,2,2017,Shanghai International Circuit
11,55,Carlos Sainz,TORO ROSSO,1:34.567,1:34.150,,11,2,2017,Shanghai International Circuit
12,20,Kevin Magnussen,HAAS FERRARI,1:34.942,1:34.164,,12,2,2017,Shanghai International Circuit
13,14,Fernando Alonso,MCLAREN HONDA,1:34.499,1:34.372,,11,2,2017,Shanghai International Circuit
14,9,Marcus Ericsson,SAUBER FERRARI,1:34.892,1:35.046,,15,2,2017,Shanghai International Circuit
15,36,Antonio Giovinazzi,SAUBER FERRARI,1:34.963,,,8,2,2017,Shanghai International Circuit
16,2,Stoffel Vandoorne,MCLAREN HONDA,1:35.023,,,6,2,2017,Shanghai International Circuit
17,8,Romain Grosjean,HAAS FERRARI,1:35.223,,,6,2,2017,Shanghai International Circuit
18,30,Jolyon Palmer,RENAULT,1:35.279,,,6,2,2017,Shanghai International Circuit
19,33,Max Verstappen,RED BULL RACING TAG HEUER,1:35.433,,,7,2,2017,Shanghai International Circuit
20,31,Esteban Ocon,FORCE INDIA MERCEDES,1:35.496,,,8,2,2017,Shanghai International Circuit
1,44,Lewis Hamilton,MERCEDES,1:24.191,1:23.251,1:22.188,14,3,2017,Bahrain International Circuit
2,5,Sebastian Vettel,FERRARI,1:25.210,1:23.401,1:22.456,17,3,2017,Bahrain International Circuit
3,77,Valtteri Bottas,MERCEDES,1:24.514,1:23.215,1:22.481,13,3,2017,Bahrain International Circuit
4,7,Kimi Räikkönen,FERRARI,1:24.352,1:23.376,1:23.033,19,3,2017,Bahrain International Circuit
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:24.482,1:24.092,1:23.485,18,3,2017,Bahrain International Circuit
6,8,Romain Grosjean,HAAS FERRARI,1:25.419,1:24.718,1:24.074,17,3,2017,Bahrain International Circuit
7,19,Felipe Massa,WILLIAMS MERCEDES,1:25.099,1:24.597,1:24.443,16,3,2017,Bahrain International Circuit
8,55,Carlos Sainz,TORO ROSSO,1:25.542,1:24.997,1:24.487,16,3,2017,Bahrain International Circuit
9,26,Daniil Kvyat,TORO ROSSO,1:25.970,1:24.864,1:24.512,16,3,2017,Bahrain International Circuit
10,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:25.383,1:23.989,DNF,10,3,2017,Bahrain International Circuit
11,11,Sergio Perez,FORCE INDIA MERCEDES,1:25.064,1:25.081,,13,3,2017,Bahrain International Circuit
12,27,Nico Hulkenberg,RENAULT,1:24.975,1:25.091,,12,3,2017,Bahrain International Circuit
13,14,Fernando Alonso,MCLAREN HONDA,1:25.872,1:25.425,,15,3,2017,Bahrain International Circuit
14,31,Esteban Ocon,FORCE INDIA MERCEDES,1:26.009,1:25.568,,16,3,2017,Bahrain International Circuit
15,9,Marcus Ericsson,SAUBER FERRARI,1:26.236,1:26.465,,15,3,2017,Bahrain International Circuit
16,36,Antonio Giovinazzi,SAUBER FERRARI,1:26.419,,,8,3,2017,Bahrain International Circuit
17,20,Kevin Magnussen,HAAS FERRARI,1:26.847,,,7,3,2017,Bahrain International Circuit
18,2,Stoffel Vandoorne,MCLAREN HONDA,1:26.858,,,6,3,2017,Bahrain International Circuit
19,18,Lance Stroll,WILLIAMS MERCEDES,1:27.143,,,7,3,2017,Bahrain International Circuit
20,30,Jolyon Palmer,RENAULT,1:28.244,,,7,3,2017,Bahrain International Circuit
1,5,Sebastian Vettel,FERRARI,1:34.493,1:34.038,1:33.194,20,4,2017,Sochi
2,7,Kimi Räikkönen,FERRARI,1:34.953,1:33.663,1:33.253,18,4,2017,Sochi
3,77,Valtteri Bottas,MERCEDES,1:34.041,1:33.264,1:33.289,18,4,2017,Sochi
4,44,Lewis Hamilton,MERCEDES,1:34.409,1:33.760,1:33.767,19,4,2017,Sochi
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:35.560,1:35.483,1:34.905,20,4,2017,Sochi
6,19,Felipe Massa,WILLIAMS MERCEDES,1:35.828,1:35.049,1:35.110,20,4,2017,Sochi
7,33,Max Verstappen,RED BULL RACING TAG HEUER,1:35.301,1:35.221,1:35.161,18,4,2017,Sochi
8,27,Nico Hulkenberg,RENAULT,1:35.507,1:35.328,1:35.285,21,4,2017,Sochi
9,11,Sergio Perez,FORCE INDIA MERCEDES,1:36.185,1:35.513,1:35.337,18,4,2017,Sochi
10,31,Esteban Ocon,FORCE INDIA MERCEDES,1:35.372,1:35.729,1:35.430,20,4,2017,Sochi
11,55,Carlos Sainz,TORO ROSSO,1:35.827,1:35.948,,18,4,2017,Sochi
12,18,Lance Stroll,WILLIAMS MERCEDES,1:36.279,1:35.964,,18,4,2017,Sochi
13,26,Daniil Kvyat,TORO ROSSO,1:35.984,1:35.968,,18,4,2017,Sochi
14,20,Kevin Magnussen,HAAS FERRARI,1:36.408,1:36.017,,16,4,2017,Sochi
15,14,Fernando Alonso,MCLAREN HONDA,1:36.353,1:36.660,,14,4,2017,Sochi
16,30,Jolyon Palmer,RENAULT,1:36.462,,,9,4,2017,Sochi
17,2,Stoffel Vandoorne,MCLAREN HONDA,1:37.070,,,9,4,2017,Sochi
18,94,Pascal Wehrlein,SAUBER FERRARI,1:37.332,,,9,4,2017,Sochi
19,9,Marcus Ericsson,SAUBER FERRARI,1:37.507,,,9,4,2017,Sochi
20,8,Romain Grosjean,HAAS FERRARI,1:37.620,,,9,4,2017,Sochi
1,44,Lewis Hamilton,MERCEDES,1:20.511,1:20.210,1:19.149,12,5,2017,Catalunia
2,5,Sebastian Vettel,FERRARI,1:20.939,1:20.295,1:19.200,16,5,2017,Catalunia
3,77,Valtteri Bottas,MERCEDES,1:20.991,1:20.300,1:19.373,15,5,2017,Catalunia
4,7,Kimi Räikkönen,FERRARI,1:20.742,1:20.621,1:19.439,14,5,2017,Catalunia
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:21.430,1:20.722,1:19.706,12,5,2017,Catalunia
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:21.704,1:20.855,1:20.175,12,5,2017,Catalunia
7,14,Fernando Alonso,MCLAREN HONDA,1:22.015,1:21.251,1:21.048,15,5,2017,Catalunia
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:21.998,1:21.239,1:21.070,14,5,2017,Catalunia
9,19,Felipe Massa,WILLIAMS MERCEDES,1:22.138,1:21.222,1:21.232,15,5,2017,Catalunia
10,31,Esteban Ocon,FORCE INDIA MERCEDES,1:21.901,1:21.148,1:21.272,17,5,2017,Catalunia
11,20,Kevin Magnussen,HAAS FERRARI,1:21.945,1:21.329,,13,5,2017,Catalunia
12,55,Carlos Sainz,TORO ROSSO,1:21.941,1:21.371,,12,5,2017,Catalunia
13,27,Nico Hulkenberg,RENAULT,1:22.091,1:21.397,,12,5,2017,Catalunia
14,8,Romain Grosjean,HAAS FERRARI,1:21.822,1:21.517,,13,5,2017,Catalunia
15,94,Pascal Wehrlein,SAUBER FERRARI,1:22.327,1:21.803,,15,5,2017,Catalunia
16,9,Marcus Ericsson,SAUBER FERRARI,1:22.332,,,9,5,2017,Catalunia
17,30,Jolyon Palmer,RENAULT,1:22.401,,,6,5,2017,Catalunia
18,18,Lance Stroll,WILLIAMS MERCEDES,1:22.411,,,7,5,2017,Catalunia
19,2,Stoffel Vandoorne,MCLAREN HONDA,1:22.532,,,9,5,2017,Catalunia
20,26,Daniil Kvyat,TORO ROSSO,1:22.746,,,6,5,2017,Catalunia
1,7,Kimi Räikkönen,FERRARI,1:13.117,1:12.231,1:12.178,23,6,2017,Monte-Carlo
2,5,Sebastian Vettel,FERRARI,1:13.090,1:12.449,1:12.221,23,6,2017,Monte-Carlo
3,77,Valtteri Bottas,MERCEDES,1:13.325,1:12.901,1:12.223,30,6,2017,Monte-Carlo
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:13.078,1:12.697,1:12.496,24,6,2017,Monte-Carlo
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:13.219,1:13.011,1:12.998,21,6,2017,Monte-Carlo
6,55,Carlos Sainz,TORO ROSSO,1:13.526,1:13.397,1:13.162,30,6,2017,Monte-Carlo
7,11,Sergio Perez,FORCE INDIA MERCEDES,1:13.530,1:13.430,1:13.329,23,6,2017,Monte-Carlo
8,8,Romain Grosjean,HAAS FERRARI,1:13.786,1:13.203,1:13.349,29,6,2017,Monte-Carlo
9,22,Jenson Button,MCLAREN HONDA,1:13.723,1:13.453,1:13.613,27,6,2017,Monte-Carlo
10,2,Stoffel Vandoorne,MCLAREN HONDA,1:13.476,1:13.249,,20,6,2017,Monte-Carlo
11,26,Daniil Kvyat,TORO ROSSO,1:13.899,1:13.516,,19,6,2017,Monte-Carlo
