Id,Raw_price,Price,Year,Raw_mileage,Mileage,Raw_engine,Volume,Gearbox,Private,3-doors
1,"490000,00",490000,2011,75000,75000,1.4 AMT,1.4,A,1,1
2,910 000 ₽,910000,2011,16150,16150,1.4 MT,1.4,M,1,0
3,480 000 ₽,480000,2010,175 000 км,175000,1.4 AMT,1.4,A,1,0
4,415 000 ₽,415000,2010,87 000 км,87000,1.6 AMT,1.6,A,0,1
5,449 000 ₽,449000,2010,108 500 км,108500,1.4 AMT,1.4,A,0,1
6,499 000 ₽,499000,2010,61 697 км,61697,1.4 AMT,1.4,A,0,0
7,530 000 ₽,530000,2011,15 407 км,15407,1.6 AMT,1.6,A,0,0
8,525 000 ₽,525000,2012,78 014 км,78014,1.4 AMT,1.4,A,0,0
9,490 000 ₽,490000,2011,56 786 км,56786,1.6 MT,1.6,M,0,0
10,460 000 ₽,460000,2011,184 311 км,184311,1.4 AMT,1.4,A,0,0
11,455 000 ₽,455000,2011,113 677 км,113677,1.4 AMT,1.4,A,0,0
12,390 000 ₽,390000,2012,108 500 км,108500,1.6 MT,1.6,M,0,0
13,485 000 ₽,485000,2012,91 762 км,91762,1.4 MT,1.4,M,0,0
14,525 000 ₽,525000,2011,108 852 км,108852,1.4 AMT,1.4,A,0,0
15,525 000 ₽,525000,2012,80 583 км,80583,1.4 AMT,1.4,A,0,0
16,448 900 ₽,448900,2010,77 000 км,77000,1.6 AMT,1.6,A,0,0
17,405 000 ₽,405000,2009,153 000 км,153000,1.6 AMT,1.6,A,0,0
18,380 000 ₽,380000,2009,144 466 км,144466,1.6 AMT,1.6,A,0,0
19,529 000 ₽,529000,2012,85 215 км,85215,1.6 AMT,1.6,A,0,0
20,460 000 ₽,460000,2012,69 211 км,69211,1.4 AMT,1.4,A,0,0
21,427 000 ₽,427000,2011,45 870 км,45870,1.4 AMT,1.4,A,0,0
22,457 000 ₽,457000,2012,44 587 км,44587,1.6 AMT,1.6,A,0,0
23,449 000 ₽,449000,2010,165 800 км,165800,1.4 AMT,1.4,A,0,0
