Id,Price,Year,Mileage,Volume,Gearbox,Private,3-doors
1,490000,2011,75000,1.4,A,1,1
2,910000,2011,16150,1.4,M,1,0
3,480000,2010,175000,1.4,A,1,0
4,415000,2010,87000,1.6,A,0,1
5,449000,2010,108500,1.4,A,0,1
6,499000,2010,61697,1.4,A,0,0
7,530000,2011,15407,1.6,A,0,0
8,525000,2012,78014,1.4,A,0,0
9,490000,2011,56786,1.6,M,0,0
10,460000,2011,184311,1.4,A,0,0
11,455000,2011,113677,1.4,A,0,0
12,390000,2012,108500,1.6,M,0,0
13,485000,2012,91762,1.4,M,0,0
14,525000,2011,108852,1.4,A,0,0
15,525000,2012,80583,1.4,A,0,0
16,448900,2010,77000,1.6,A,0,0
17,405000,2009,153000,1.6,A,0,0
18,380000,2009,144466,1.6,A,0,0
19,529000,2012,85215,1.6,A,0,0
20,460000,2012,69211,1.4,A,0,0
21,427000,2011,45870,1.4,A,0,0
22,457000,2012,44587,1.6,A,0,0
23,449000,2010,165800,1.4,A,0,0
24,465000,2011,110060,1.4,A,0,0
25,400000,2010,70000,1.4,M,0,1
26,550000,2012,105000,1.6,A,1,0
27,535000,2012,91000,1.4,A,0,0
28,450000,2011,125200,1.6,M,0,0
29,545000,2012,118563,1.4,M,0,0
30,390000,2011,83500,1.4,M,0,0
31,427000,2011,86990,1.4,M,0,0
32,475000,2011,113000,1.4,M,0,0
33,455000,2011,86000,1.4,A,0,0
34,518000,2012,87000,1.4,A,0,0
35,435000,2011,93000,1.2,A,0,0
36,545000,2012,70000,1.6,M,0,0
37,595000,2012,44611,1.6,A,0,0
38,490000,2012,93132,1.4,A,0,0
39,400000,2011,80600,1.4,A,0,0
40,425000,2011,81033,1.4,A,0,0
41,500000,2011,95500,2.0,M,0,1
42,440000,2012,108000,1.2,M,0,0
43,480000,2010,89000,1.6,A,1,0
44,450000,2010,128550,1.6,A,1,0
45,425000,2010,79000,1.6,A,1,0
46,455000,2011,122086,1.4,M,0,0
47,620000,2012,38700,1.6,A,1,0
48,389000,2010,35556,1.6,A,0,0
49,419000,2010,90466,1.6,A,0,0
50,427000,2010,107558,1.6,A,0,0
51,490000,2012,65787,1.4,A,0,0
52,550000,2011,122452,1.4,A,1,0
53,600000,2011,46000,1.4,M,1,0
54,450000,2012,99000,1.6,M,1,0
55,529000,2011,64000,1.4,A,1,0
56,415000,2009,82169,1.4,A,0,0
57,479000,2011,91500,1.4,A,0,0
58,480000,2010,125000,1.6,A,1,0
59,488000,2011,63635,1.6,A,0,0
60,390000,2009,158700,1.4,M,1,0
61,540000,2012,98500,1.4,A,1,0
62,435000,2012,63000,1.2,M,0,0
63,540000,2011,52000,1.2,M,1,1
64,395000,2009,105000,1.6,A,0,0
65,590000,2012,75134,1.6,A,1,0
66,479000,2010,76523,1.6,A,0,0
67,499000,2012,68659,1.4,M,0,0
68,360000,2011,116000,1.2,M,1,1
69,400000,2009,80500,1.6,M,1,1
70,469000,2011,96980,1.4,A,0,1
71,450000,2011,78000,1.4,A,1,0
72,499000,2011,87500,1.6,M,0,0
73,485000,2011,104000,1.4,A,1,0
74,525000,2012,78350,1.6,M,1,0
75,540000,2012,95000,1.4,A,1,0
76,599999,2012,102000,1.4,A,1,0
77,590000,2011,112000,1.4,A,1,0
78,405000,2010,88000,1.6,A,1,0
79,450000,2011,114000,1.6,M,1,0
80,595000,2011,81000,1.4,A,1,0
81,480000,2011,46600,1.6,A,1,0
82,525000,2012,107000,1.4,A,1,0
83,450000,2011,90000,1.4,A,1,1
84,500000,2011,127500,1.4,M,1,0
85,499000,2012,98000,1.4,M,1,0
86,395000,2011,120000,1.2,A,1,0
87,405000,2010,87000,1.4,A,1,0
88,480000,2012,65000,1.6,A,1,0
89,445000,2010,94000,1.6,A,1,0
90,600000,2011,47000,1.6,A,1,0
91,441000,2010,186000,1.4,M,1,0
92,520000,2011,141000,1.6,A,1,0
93,470000,2011,55000,1.6,A,1,0
94,520000,2011,110000,1.2,A,1,0
95,425000,2010,138400,1.4,A,1,0
96,510000,2011,60400,1.6,A,1,0
97,425000,2009,156000,1.6,M,1,0
98,530000,2012,69000,1.6,A,1,0
99,465000,2011,134000,1.4,M,1,0
100,460000,2009,68000,1.4,M,1,1
101,555000,2011,78350,1.4,A,1,0
102,540000,2012,130000,1.6,M,1,0
103,530000,2012,100000,1.4,A,1,0
104,420000,2009,120000,1.4,M,1,0
105,460000,2011,92000,1.4,A,1,0
106,680000,2011,33000,1.6,M,1,0
107,495000,2011,126000,1.4,A,1,0
108,500000,2012,142000,1.6,M,1,0
109,430000,2012,103000,1.2,A,1,1
110,750000,2012,72500,1.4,A,1,0
111,516000,2011,110000,1.6,M,1,0
112,550000,2011,92000,1.4,A,1,0
113,460000,2011,109500,1.4,A,1,0
114,475000,2012,168000,1.4,A,1,0
115,500000,2012,77000,1.4,A,1,0
116,400000,2008,229000,1.4,A,1,1
117,595000,2012,92000,1.4,M,1,1
118,440000,2012,188000,1.6,M,1,0
119,440000,2010,140000,1.4,A,1,0
120,407000,2010,133917,1.6,A,0,0
121,420000,2009,153000,1.4,A,1,0
122,475000,2010,62300,1.4,A,1,1
123,687000,2012,29800,1.4,A,1,0
124,530000,2011,83000,1.6,A,1,0
125,550000,2010,172000,1.6,A,1,0
126,490000,2011,75000,1.4,A,1,0
127,570000,2011,111500,1.4,M,1,0
128,550000,2010,68000,1.6,A,1,0
129,470000,2011,79000,1.4,M,1,1
130,535000,2012,83800,1.4,A,1,0
131,469000,2010,140000,1.4,M,1,0
132,585000,2011,31000,1.6,M,1,0
133,420000,2011,147000,1.4,M,1,0
134,430500,2010,86000,1.6,A,1,1
135,450000,2011,110000,1.4,M,1,1
136,460000,2011,95000,1.4,A,1,0
137,500000,2012,56000,1.4,A,1,0
138,580000,2012,112000,1.4,A,1,0
139,419900,2011,81020,1.4,A,0,0
140,457000,2012,80631,1.6,M,0,0
141,484000,2010,109500,1.4,A,1,0
142,477000,2010,109500,1.4,A,1,0
143,550000,2011,114000,1.6,A,1,0
144,370000,2010,149000,1.6,A,1,0
145,465000,2011,83000,1.4,A,1,0
146,555000,2012,86000,1.4,M,1,0
147,465000,2012,69000,1.4,A,1,0
148,500000,2011,118000,1.4,A,1,0
149,410000,2011,137500,1.4,M,0,0
150,390000,2011,132500,1.4,M,1,0
151,480000,2011,136000,1.4,M,1,1
152,459000,2012,114829,1.6,M,0,0
153,400000,2010,89906,1.6,A,0,0
154,450000,2009,139000,1.4,A,1,0
155,630000,2012,56000,1.6,A,1,0
156,490000,2010,88000,1.4,A,1,0
157,599999,2012,77581,1.2,A,0,0
158,460000,2011,85758,1.2,A,1,0
159,450000,2010,150000,1.6,A,1,0
160,497700,2011,75000,1.6,A,0,0
161,400000,2009,71000,1.6,A,1,0
162,420000,2011,107800,1.4,A,1,0
163,515000,2012,70000,1.4,A,1,0
164,450000,2010,112000,1.4,A,1,0
165,430000,2010,130000,1.4,M,1,1
166,400000,2010,182500,1.4,A,0,0
167,485000,2011,115000,1.6,A,0,0
168,440000,2010,120000,1.6,A,0,0
169,430000,2011,150000,1.4,M,1,0
170,500000,2012,50000,1.4,A,1,0
171,509000,2010,150000,1.4,A,1,0
172,490000,2010,75000,1.6,A,1,0
173,350000,2010,79300,1.6,A,1,0
174,470000,2009,120000,1.4,A,1,0
175,520000,2011,111000,1.4,M,1,1
176,385000,2011,125000,1.2,M,1,0
177,410000,2010,51000,1.2,A,1,0
